table,power,gamma1,rho,C2
4.3,0.80,1.00,0.0,1.250
4.3,0.80,1.00,0.2,1.226
4.3,0.80,1.00,0.3,1.210
4.3,0.80,1.00,0.5,1.168
4.3,0.80,1.00,0.7,1.109
4.3,0.80,1.00,0.8,1.066
4.3,0.80,1.00,0.95,0.961
4.3,0.80,1.02,0.0,1.219
4.3,0.80,1.02,0.2,1.195
4.3,0.80,1.02,0.3,1.179
4.3,0.80,1.02,0.5,1.138
4.3,0.80,1.02,0.7,1.079
4.3,0.80,1.02,0.8,1.038
4.3,0.80,1.02,0.95,0.934
4.3,0.80,1.04,0.0,1.190
4.3,0.80,1.04,0.2,1.166
4.3,0.80,1.04,0.3,1.151
4.3,0.80,1.04,0.5,1.111
4.3,0.80,1.04,0.7,1.053
4.3,0.80,1.04,0.8,1.012
4.3,0.80,1.04,0.95,0.912
4.3,0.80,1.07,0.0,1.150
4.3,0.80,1.07,0.2,1.127
4.3,0.80,1.07,0.3,1.112
4.3,0.80,1.07,0.5,1.073
4.3,0.80,1.07,0.7,1.017
4.3,0.80,1.07,0.8,0.978
4.3,0.80,1.07,0.95,0.887
4.3,0.80,1.10,0.0,1.114
4.3,0.80,1.10,0.2,1.091
4.3,0.80,1.10,0.3,1.077
4.3,0.80,1.10,0.5,1.040
4.3,0.80,1.10,0.7,0.986
4.3,0.80,1.10,0.8,0.950
4.3,0.80,1.10,0.95,0.869
4.3,0.80,1.13,0.0,1.081
4.3,0.80,1.13,0.2,1.060
4.3,0.80,1.13,0.3,1.046
4.3,0.80,1.13,0.5,1.010
4.3,0.80,1.13,0.7,0.960
4.3,0.80,1.13,0.8,0.927
4.3,0.80,1.13,0.95,0.858
4.3,0.80,1.16,0.0,1.051
4.3,0.80,1.16,0.2,1.031
4.3,0.80,1.16,0.3,1.018
4.3,0.80,1.16,0.5,0.984
4.3,0.80,1.16,0.7,0.938
4.3,0.80,1.16,0.8,0.907
4.3,0.80,1.16,0.95,0.850
4.3,0.80,1.20,0.0,1.016
4.3,0.80,1.20,0.2,0.998
4.3,0.80,1.20,0.3,0.986
4.3,0.80,1.20,0.5,0.955
4.3,0.80,1.20,0.7,0.914
4.3,0.80,1.20,0.8,0.887
4.3,0.80,1.20,0.95,0.845
4.3,0.80,1.25,0.0,0.979
4.3,0.80,1.25,0.2,0.962
4.3,0.80,1.25,0.3,0.952
4.3,0.80,1.25,0.5,0.925
4.3,0.80,1.25,0.7,0.890
4.3,0.80,1.25,0.8,0.870
4.3,0.80,1.25,0.95,0.843
4.3,0.80,1.30,0.0,0.948
4.3,0.80,1.30,0.2,0.934
4.3,0.80,1.30,0.3,0.925
